title,citation,year,pmid
Impact of chorioamnionitis on exhaled nitric oxide and endotracheal aspirate levels of nitrites-nitrates and interleukin-8 in mechanically ventilated preterm neonates.,Pediatr. Pulmonol. 2011 Jun;46(6):595-603.,2011,21246759
No arguments for increased endothelial nitric oxide synthase activity in migraine based on peripheral biomarkers.,Cephalalgia 2010 Nov;30(11):1354-65.,2010,20959430
Effect of oral arginine supplementation on exhaled nitric oxide concentration in sickle cell anemia and acute chest syndrome.,J. Pediatr. Hematol. Oncol. 2010 Oct;32(7):e249-58.,2010,20724949
"Diuretic, opiate and nitrate use in severe acidotic acute cardiogenic pulmonary oedema: analysis from the 3CPO trial.",QJM 2010 Aug;103(8):573-81.,2010,20511258
Serum nitrite and nitrate levels in children with obstructive sleep-disordered breathing.,Sleep Med. 2010 Mar;11(3):258-62.,2010,20153977
Low-dose sodium nitrite vasodilates hypoxic human pulmonary vasculature by a means that is not dependent on a simultaneous elevation in plasma nitrite.,Am. J. Physiol. Heart Circ. Physiol. 2010 Feb;298(2):H331-9.,2010,19940079
Long-term measurements of NO(3) radical at a semiarid urban site: 1. Extreme concentration events and their oxidation capacity.,Environ. Sci. Technol. 2009 Dec;43(24):9117-23.,2009,20000501
"Time-dependent effects of inhaled corticosteroids on lung function, bronchial hyperresponsiveness, and airway inflammation in asthma.",Ann. Allergy Asthma Immunol. 2009 Jul;103(1):31-7.,2009,19663124
[Inflammation markers in the exhaled air of patients with bronchiectasis unassociated with cystic fibrosis].,Arch. Bronconeumol. 2009 Dec;45(12):597-602.,2009,19875219
Lack of modulation of gastric emptying by dietary nitrate in healthy volunteers.,Tohoku J. Exp. Med. 2009 May;218(1):73-9.,2009,19398876
Basal and induced NO formation in the pharyngo-oral tract influences estimates of alveolar NO levels.,J. Appl. Physiol. 2009 Feb;106(2):513-9.,2009,19036899
Nitric oxide production in the exhaled air of patients with pulmonary tuberculosis in relation to HIV co-infection.,BMC Infect. Dis. 2008 Oct;8:146.,2008,18950489
Effect of growth hormone therapy on nitric oxide formation in cystic fibrosis patients.,Eur. Respir. J. 2008 Apr;31(4):815-21.,2008,18094013
Exhaled methyl nitrate as a noninvasive marker of hyperglycemia in type 1 diabetes.,Proc. Natl. Acad. Sci. U.S.A. 2007 Oct;104(40):15613-8.,2007,17895380
Measurement of IL-13-induced iNOS-derived gas phase nitric oxide in human bronchial epithelial cells.,Am. J. Respir. Cell Mol. Biol. 2007 Jul;37(1):97-104.,2007,17347445
Time-dependent effect of nitrate-rich meals on exhaled nitric oxide in healthy subjects.,Chest 2005 Oct;128(4):2465-70.,2005,16236910
H. pylori infection increases levels of exhaled nitrate.,Helicobacter 2005 Oct;10(5):385-90.,2005,16181348
Local nitric oxide levels reflect the degree of allergic airway inflammation after segmental allergen challenge in asthmatics.,Nitric Oxide 2005 Sep;13(2):125-33.,2005,16006159
Nitric oxide formation in the oropharyngeal tract: possible influence of cigarette smoking.,Nitric Oxide 2004 Nov;11(3):247-55.,2004,15566971
Increased breath nitrous oxide after ingesting nitrate in patients with atrophic gastritis and partial gastrectomy.,Clin. Chim. Acta 2004 Jul;345(1-2):129-33.,2004,15193987
The cytotoxic effect of volatile organic compounds of the gas phase of cigarette smoke on lung epithelial cells.,Free Radic. Biol. Med. 2003 Feb;34(3):345-55.,2003,12543250
Exhaled NO and plasma cGMP increase after endotoxin infusion in healthy volunteers.,Eur. Respir. J. 2003 Apr;21(4):594-9.,2003,12762341
Circulating and exhaled markers of nitric oxide and antioxidant activity after smoking.,Circulation 2002 Nov;106(20):e145-6; discussion e145-6.,2002,12427667
"Assessing nitrate metabolism in the intestinal tract by measuring breath nitric oxide and nitrous oxide, and its clinical significance.",Clin. Chim. Acta 2002 May;319(1):57-62.,2002,11922924
Effect of ecNOS polymorphisms and coronary artery disease upon exhaled nitric oxide.,J. Mol. Med. 2002 Mar;80(3):181-6.,2002,11894144
Low exhaled nitric oxide and a polymorphism in the NOS I gene is associated with acute chest syndrome.,Am. J. Respir. Crit. Care Med. 2001 Dec;164(12):2186-90.,2001,11751185
Mixed exhaled nitric oxide and plasma nitrites and nitrates in newborn infants.,Life Sci. 2001 May;68(25):2789-97.,2001,11432445
Exhaled and nasal nitric oxide as a marker of pneumonia in ventilated patients.,Am. J. Respir. Crit. Care Med. 2001 Apr;163(5):1143-9.,2001,11316650
Increased nitric oxide in exhaled air after intake of a nitrate-rich meal.,Respir Med 2001 Feb;95(2):153-8.,2001,11217912
Estimation of nitrate metabolism in intestinal tract by measuring breath nitrous oxide concentration in Chinese and Japanese.,Dig. Dis. Sci. 2000 May;45(5):1002-5.,2000,10795767
Association of fasting breath nitrous oxide concentration with gastric juice nitrate and nitrite concentrations and Helicobacter pylori infection.,Dig. Dis. Sci. 2000 Oct;45(10):2054-7.,2000,11117583
Relative role of heme nitrosylation and beta-cysteine 93 nitrosation in the transport and metabolism of nitric oxide by hemoglobin in the human circulation.,Proc. Natl. Acad. Sci. U.S.A. 2000 Aug;97(18):9943-8.,2000,10954746
"Effects of short-term nitrogen monoxide inhalation on leukocyte adhesion molecules, generation of reactive oxygen species, and cytokine release in human blood.",Nitric Oxide 2000 Apr;4(2):112-22.,2000,10835291
Endogenous nitric oxide in patients with chronic heart failure (CHF): relation to functional impairment and nitrate-containing therapies.,Int. J. Cardiol. 2000 Apr;73(2):123-30; discussion 131-4.,2000,10817849
Quality of life after coronary angioplasty or continued medical treatment for angina: three-year follow-up in the RITA-2 trial. Randomized Intervention Treatment of Angina.,J. Am. Coll. Cardiol. 2000 Mar;35(4):907-14.,2000,10732887
Non-surgical management of erectile dysfunction.,Clin. Endocrinol. (Oxf) 2000 Mar;52(3):253-60.,2000,10718821
Body nitrosation potential measured by a novel 15N breath test.,Free Radic. Biol. Med. 1999 Dec;27(11-12):1302-7.,1999,10641724
An 18oxygen inhalation method for determination of total body formation of nitric oxide in humans.,Clin Physiol 1999 Nov;19(6):504-9.,1999,10583344
"Vegetables, high nitrate foods, increased breath nitrous oxide.",Dig. Dis. Sci. 1999 Jun;44(6):1216-9.,1999,10389699
Markers of nitric oxide metabolism in sputum and exhaled air are not increased in chronic obstructive pulmonary disease.,Thorax 1999 Jul;54(7):576-80.,1999,10377200
Down-regulation of nitric oxide production by ibuprofen in human volunteers.,J. Pharmacol. Exp. Ther. 1999 Jun;289(3):1398-403.,1999,10336532
Assessment of nitric oxide formation during exercise.,Am. J. Respir. Crit. Care Med. 1999 Apr;159(4 Pt 1):1125-33.,1999,10194156
Salivary contribution to exhaled nitric oxide.,Eur. Respir. J. 1999 Feb;13(2):327-33.,1999,10065676
Increased excretion of nitric oxide in exhaled air of patients with chronic renal failure.,Clin. Sci. 1999 Jan;96(1):67-74.,1999,9857108
"Nasal nitric oxide and its relationship to nasal symptoms, smoking and nasal nitrate.",Rhinology 1998 Sep;36(3):117-21.,1998,9830675
Exhaled oral and nasal nitric oxide during L-arginine infusion in preeclampsia.,Gynecol. Obstet. Invest. 1998 ;46(4):232-7.,1998,9813440
Inducible nitric oxide synthase expression is reduced in cystic fibrosis murine and human airway epithelial cells.,J. Clin. Invest. 1998 Sep;102(6):1200-7.,1998,9739054
Total sputum nitrate plus nitrite is raised during acute pulmonary infection in cystic fibrosis.,Am. J. Respir. Crit. Care Med. 1998 Jul;158(1):207-12.,1998,9655731
Nitrite and nitrate analyses: a clinical biochemistry perspective.,Clin. Biochem. 1998 Jun;31(4):195-220.,1998,9646943
Nitric oxide metabolites in cystic fibrosis lung disease.,Arch. Dis. Child. 1998 Jan;78(1):49-53.,1998,9534676
Drinking water and cancer.,Cancer Causes Control 1997 May;8(3):292-308.,1997,9498894
Exhaled nitric oxide and bronchoalveolar lavage nitrite/nitrate in active pulmonary sarcoidosis.,Am. J. Respir. Crit. Care Med. 1997 Dec;156(6):1892-6.,1997,9412571
Exhaled nitric oxide and oxygenation abnormalities in hepatic cirrhosis.,Hepatology 1997 Oct;26(4):842-7.,1997,9328302
Modulation of adenovirus-mediated gene transfer by nitric oxide.,Am. J. Respir. Cell Mol. Biol. 1997 May;16(5):501-9.,1997,9160832
The effect of the menstrual cycle on exhaled nitric oxide and urinary nitrate concentration.,Eur. J. Clin. Invest. 1996 Jun;26(6):481-4.,1996,8817162
Sex differences in concentrations of exhaled nitric oxide and plasma nitrate.,Life Sci. 1996 ;58(6):469-76.,1996,8569419
L-arginine increases exhaled nitric oxide in normal human subjects.,Clin. Sci. 1995 Feb;88(2):135-9.,1995,7720336
Asthmatic responses to airborne acid aerosols.,Am J Public Health 1991 Jun;81(6):694-702.,1991,1851397
Regional cerebral blood flow changes associated with amyl nitrite inhalation.,Br J Addict 1989 Mar;84(3):293-99.,1989,2706385
The influence of chemical and physical forms of ambient air acids on airway doses.,Environ. Health Perspect. 1989 Feb;79:7-13.,1989,2539992
Regional deposition of inhaled fog droplets: preliminary observations.,Environ. Health Perspect. 1989 Feb;79:151-7.,1989,2539988
Acidity potentiates bronchoconstriction induced by hypoosmolar aerosols.,Am. Rev. Respir. Dis. 1988 Jul;138(1):35-9.,1988,2849338
"Trichloroethylene, tetrachloroethylene, nitrates, and other chemicals in well water in the Fresno-Clovis Metropolitan Area.",Arch. Environ. Health 1997 Sep-Oct;52(5):348-54.,,9546757
