title,citation,year,pmid
Blood rheology in children with the S/β+-thalassemia syndrome.,Clin. Hemorheol. Microcirc. 2018 ;69(1-2):207-214.,2018,29630544
"The relationships among Dermatophagoides pteronyssinus exposure, exhaled nitric oxide, and exhaled breath condensate pH levels in atopic asthmatic children.",Medicine (Baltimore) 2016 Sep;95(39):e4825.,2016,27684812
Serum tryptase level and inflammatory markers in exhaled breath condensate of children with exercise-induced symptoms.,Allergy Asthma Proc 2016 Sep;37(5):84-92.,2016,27657515
Exhaled nitric oxide dynamics in asthmatic reactions induced by diisocyanates.,Clin. Exp. Allergy 2016 12;46(12):1531-1539.,2016,27533788
Leukotrienes in exhaled breath condensate and fractional exhaled nitric oxide in workers exposed to TiO2 nanoparticles.,J Breath Res 2016 06;10(3):036004.,2016,27356965
Biological effects of inhaled nitrogen dioxide in healthy human subjects.,Int Arch Occup Environ Health 2016 Aug;89(6):1017-24.,2016,27155612
Reduced clot retraction rate and altered platelet energy production in patients with asthma.,J Asthma 2016 08;53(6):589-98.,2016,27145190
Exhaled breath analysis in childhood rheumatic disorders--a longitudinal study.,J Breath Res 2016 Apr;10(2):021001.,2016,27093271
Association between exhaled inflammatory markers and asthma control in children.,J Breath Res 2016 Feb;10(1):016014.,2016,26893372
Identification of infants and preschool children at risk for asthma: predictive scores and biomarkers.,Curr Opin Allergy Clin Immunol 2016 Apr;16(2):120-6.,2016,26807784
Use of Exhaled Nitric Oxide as a Biomarker in Diagnosis and Management of Chronic Obstructive Pulmonary Disease.,J Prim Care Community Health 2016 Apr;7(2):102-6.,2016,26718918
"Exhaled breath analysis, a simple tool to study the pathophysiology of obstructive sleep apnoea.",Sleep Med Rev 2016 Jun;27:1-8.,2016,26426372
Extended nitric oxide analysis may improve personalized anti-inflammatory treatment in asthmatic children with intermediate F(E)NO50.,J Breath Res 2015 Dec;9(4):047114.,2015,26670199
Short-term effects of a nicotine-free e-cigarette compared to a traditional cigarette in smokers and non-smokers.,BMC Pulm Med 2015 Oct;15:120.,2015,26459355
[Related factors for asthmatic children's responses to long-term treatment].,Zhongguo Dang Dai Er Ke Za Zhi 2015 Jul;17(7):692-7.,2015,26182273
Children's Health and Indoor Air Quality in Primary Schools and Homes in Portugal-Study Design.,J. Toxicol. Environ. Health Part A 2015 ;78(13-14):915-30.,2015,26167757
Association of Lung Inflammatory Cells with Small Airways Function and Exhaled Breath Markers in Smokers - Is There a Specific Role for Mast Cells?,PLoS ONE 2015 ;10(6):e0129426.,2015,26069967
Ultrafine particle content in exhaled breath condensate in airways of asthmatic children.,J Breath Res 2015 Apr;9(2):026001.,2015,25830607
Prediction of asthma exacerbations in children by innovative exhaled inflammatory markers: results of a longitudinal study.,PLoS ONE 2015 ;10(3):e0119434.,2015,25799487
Usefulness of noninvasive methods for the study of bronchial inflammation in the control of patients with asthma.,Int. Arch. Allergy Immunol. 2015 ;166(1):1-12.,2015,25765083
Contribution of exhaled nitric oxide measurement in airway inflammation assessment in asthma. A position paper from the French Speaking Respiratory Society.,Rev Mal Respir 2015 Feb;32(2):193-215.,2015,25704902
Pulmonary inflammation in foundry workers.,J. Occup. Environ. Med. 2015 Feb;57(2):124-8.,2015,25654513
Novel biomarkers for asthma stratification and personalized therapy.,Expert Rev. Mol. Diagn. 2015 Mar;15(3):415-30.,2015,25479456
Urates in exhaled breath condensate as a biomarker of control in childhood asthma.,J Asthma 2015 Jun;52(5):437-46.,2015,25387148
Nasal NO as a biomarker: don't say NO to the many challenges of translational medicine.,Pediatr. Pulmonol. 2015 Jan;50(1):100-2.,2015,25310962
Airway metabolic anomalies in adolescents with bronchopulmonary dysplasia: new insights from the metabolomic approach.,J. Pediatr. 2015 Feb;166(2):234-9.e1.,2015,25294602
Exhaled nitric oxide and other exhaled biomarkers in bronchial challenge with exercise in asthmatic children: current knowledge.,Paediatr Respir Rev 2015 Jan;16(1):68-74.,2015,24368252
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
[The role of fractional nitric oxide in exhaled breath (FeNO) in clinical practice of asthma].,Rinsho Byori 2014 Dec;62(12):1226-33.,2014,25823239
Assessing the efficacy of immunotherapy with a glutaraldehyde-modified house dust mite extract in children by monitoring changes in clinical parameters and inflammatory markers in exhaled breath.,Int. Arch. Allergy Immunol. 2014 ;165(2):140-7.,2014,25471080
Advanced diagnostic studies: exhaled breath and sputum analyses.,J. Occup. Environ. Med. 2014 Oct;56 Suppl 10:S45-8.,2014,25285976
Breath tests in diagnosis of pulmonary tuberculosis.,Recent Pat Biotechnol 2014 ;8(2):172-5.,2014,25185981
Exhaled breath condensate pH and FeNO as biomarkers of acute and chronic exposure to hazards at swine farms.,J. Occup. Environ. Med. 2014 Sep;56(9):946-52.,2014,25046318
The role of non-invasive biomarkers in detecting acute respiratory effects of traffic-related air pollution.,Clin. Exp. Allergy 2014 Sep;44(9):1100-18.,2014,25040251
"Exhaled nitric oxide and nasal tryptase are associated with wheeze, rhinitis and nasal allergy in primary school children.",Biomarkers 2014 Sep;19(6):481-7.,2014,25019424
"Nitric oxide, IL-6 and IL-13 are increased in the exhaled breath condensates  of children with allergic rhinitis.",Acta Paediatr. 2014 Apr;103(4):e148-53.,2014,24761460
Exhaled breath temperature in children: reproducibility and influencing factors.,J Asthma 2014 Sep;51(7):743-50.,2014,24654705
Exhaled breath condensate pH decreases during exercise-induced bronchoconstriction.,Respirology 2014 May;19(4):563-9.,2014,24612285
Tidal-breathing measurement of exhaled breath temperature (EBT) in schoolchildren.,Pediatr. Pulmonol. 2014 Dec;49(12):1196-204.,2014,24604829
Use of electronic cigarettes (e-cigarettes) impairs indoor air quality and increases FeNO levels of e-cigarette consumers.,Int J Hyg Environ Health 2014 Jul;217(6):628-37.,2014,24373737
Exhaled breath temperature in asthmatics and controls after eucapnic voluntary hyperventilation and a methacholine challenge test.,Respiration 2014 ;87(2):149-57.,2014,24335100
Revisiting the role of exhaled nitric oxide in asthma.,Curr Opin Pulm Med 2014 Jan;20(1):53-9.,2014,24275926
Exhaled matrix metalloproteinase-9 (MMP-9) in different biological phenotypes of asthma.,Eur. J. Intern. Med. 2014 Jan;25(1):92-6.,2014,24070522
Use of exhaled nitric oxide in asthma care.,"Nurs Times 2013 Oct;109(42):22, 24-5.",2013,24288862
Mica dust and pneumoconiosis: example of a pure occupational exposure in a muscovite milling unit.,J. Occup. Environ. Med. 2013 Dec;55(12):1469-74.,2013,24270302
Pulmonary biomarkers in COPD exacerbations: a systematic review.,Respir. Res. 2013 Oct;14:111.,2013,24143945
Extremely sensitive and selective NO probe based on villi-like WO3 nanostructures for application to exhaled breath analyzers.,ACS Appl Mater Interfaces 2013 Nov;5(21):10591-6.,2013,24090094
Is health-related quality of life associated with upper and lower airway inflammation in asthmatics?,Biomed Res Int 2013 ;2013:539290.,2013,24073408
Disturbed heart rate variability: a dose-dependent response to elevated nitric oxide and carbon monoxide in exhaled breath.,Int. J. Cardiol. 2013 Oct;168(6):e155-7.,2013,24041983
Exhaled hydrogen sulfide in patients with chronic obstructive pulmonary disease and its correlation with exhaled nitric oxide.,Chin. Med. J. 2013 ;126(17):3240-4.,2013,24033943
"Increase of club cell (Clara) protein (CC16) in plasma and urine after exercise challenge in asthmatics and healthy controls, and correlations to exhaled breath temperature and exhaled nitric oxide.",Respir Med 2013 Nov;107(11):1675-81.,2013,24018107
Recent advances in asthma biomarker research.,Ther Adv Respir Dis 2013 Oct;7(5):297-308.,2013,23907809
"Pulmonary infection, and not systemic inflammation, accounts for increased concentrations of exhaled nitric oxide in patients with septic shock.",J Breath Res 2013 Sep;7(3):036003.,2013,23867579
Aging and airway inflammation.,Aging Clin Exp Res 2013 Jun;25(3):239-45.,2013,23740581
Impaired pulmonary nitric oxide bioavailability in pulmonary tuberculosis: association with disease severity and delayed mycobacterial clearance with treatment.,J. Infect. Dis. 2013 Aug;208(4):616-26.,2013,23737604
Marine lipid fraction PCSO-524 (lyprinol/omega XL) of the New Zealand green lipped mussel attenuates hyperpnea-induced bronchoconstriction in asthma.,Respir Med 2013 Aug;107(8):1152-63.,2013,23660397
When are biomarkers useful in the management of airway diseases?,Pol. Arch. Med. Wewn. 2013 ;123(4):183-8.,2013,23535848
Methods of NO detection in exhaled breath.,J Breath Res 2013 Mar;7(1):017104.,2013,23445766
Exhaled nitric oxide as biomarker of acute lung injury: an unfulfilled promise?,J Breath Res 2013 Mar;7(1):017118.,2013,23445570
Exhaled breath condensate in pediatric asthma: promising new advance or pouring cold water on a lot of hot air? a systematic review.,Pediatr. Pulmonol. 2013 May;48(5):419-42.,2013,23401497
[Value of fractional nitric oxide concentration in exhaled breath in assessing level of asthma control in children].,Zhongguo Dang Dai Er Ke Za Zhi 2013 Jan;15(1):29-32.,2013,23336164
Safety of an alkalinizing buffer designed for inhaled medications in humans.,Respir Care 2013 Jul;58(7):1226-32.,2013,23258576
"Effect of nebulized beclomethasone on airway inflammation and clinical status of children with allergic asthma and rhinitis: a randomized, double-blind, placebo-controlled study.",Int. Arch. Allergy Immunol. 2013 ;161(1):53-64.,2013,23257680
Assessing and accessing the small airways; implications for asthma management.,Pulm Pharmacol Ther 2013 Apr;26(2):172-9.,2013,23073337
[Pulmonary function testing in Japan: present status and new developments].,Rinsho Byori 2012 Sep;60(9):875-9.,2012,23157117
Nasal and bronchial inflammation after nasal allergen challenge: assessment using noninvasive methods.,J Investig Allergol Clin Immunol 2012 ;22(5):351-6.,2012,23101310
Exhaled breath condensate pH is influenced by respiratory droplet dilution.,J Breath Res 2012 Dec;6(4):046002.,2012,22990071
Relation of circulating T cell profiles to airway inflammation and asthma control in asthmatic pregnancy.,Acta Physiol Hung 2012 Sep;99(3):302-10.,2012,22982718
Inflammatory and oxidative stress responses of healthy young adults to changes in air quality during the Beijing Olympics.,Am. J. Respir. Crit. Care Med. 2012 Dec;186(11):1150-9.,2012,22936356
Relationship between exhaled nitric oxide and exposure to low-level environmental tobacco smoke in children with asthma on inhaled corticosteroids.,J Asthma 2012 Sep;49(7):673-8.,2012,22799435
Wildland smoke exposure values and exhaled breath indicators in firefighters.,J. Toxicol. Environ. Health Part A 2012 ;75(13-15):831-43.,2012,22788370
Evaluation of gut bacterial populations using an electronic e-nose and field asymmetric ion mobility spectrometry: further insights into 'fermentonomics'.,J Med Eng Technol 2012 Oct;36(7):333-7.,2012,22764881
Exhaled NO is a poor marker of asthma control in children with a reported use of asthma medication: a pharmacy-based study.,Pediatr Allergy Immunol 2012 Sep;23(6):529-36.,2012,22624949
Associations between nitric oxide synthase genes and exhaled NO-related phenotypes according to asthma status.,PLoS ONE 2012 ;7(5):e36672.,2012,22590587
Fractional exhaled nitric oxide (FeNO) may predict exercise-induced bronchoconstriction (EIB) in schoolchildren with atopic asthma.,Nitric Oxide 2012 Aug;27(2):82-7.,2012,22584259
Effects of wood smoke particles from wood-burning stoves on the respiratory health of atopic humans.,Part Fibre Toxicol 2012 Apr;9:12.,2012,22546175
Prediction of asthma exacerbations in children: results of a one-year prospective study.,Clin. Exp. Allergy 2012 May;42(5):792-8.,2012,22515395
Diagnosis of occupational asthma: an update.,Curr Allergy Asthma Rep 2012 Jun;12(3):221-31.,2012,22467203
[Assessment of airway inflammation by exhaled gas and exhaled breath condensate].,Arerugi 2012 Jan;61(1):1-9.,2012,22398422
Nitric oxide in the exhaled breath condensate of healthy volunteers collected with a reusable device.,Arch. Bronconeumol. 2012 Apr;48(4):120-5.,2012,22244948
Respiratory effects associated with wood fuel use: a cross-sectional biomarker study among adolescents.,Pediatr. Pulmonol. 2012 Apr;47(4):358-66.,2012,21901861
Endothelin in renal injury due to sickle cell disease.,Contrib Nephrol 2011 ;172:185-99.,2011,21893999
Clinical and functional prediction of moderate to severe obstructive sleep apnoea.,Clin Respir J 2011 Oct;5(4):219-26.,2011,21801324
"Clinical study of multiple breath biomarkers of asthma and COPD (NO, CO(2), CO and N(2)O) by infrared laser spectroscopy.",J Breath Res 2011 Sep;5(3):037108.,2011,21757803
Effect of the influenza A (H1N1) live attenuated intranasal vaccine on nitric oxide (FE(NO)) and other volatiles in exhaled breath.,J Breath Res 2011 Sep;5(3):037107.,2011,21757798
Can exhaled inflammatory markers predict a steroid response in wheezing preschool children?,Clin. Exp. Allergy 2011 Aug;41(8):1076-83.,2011,21623968
Modeling gas phase nitric oxide release in lung epithelial cells.,Nitric Oxide 2011 Oct;25(3):275-81.,2011,21550413
Exhaled nitric oxide and exhaled breath condensate pH as predictors of sputum cell counts in optimally treated asthmatic smokers.,Respirology 2011 Jul;16(5):811-8.,2011,21545371
Non-invasive assessment of exhaled biomarkers in lung transplantation.,J Breath Res 2011 Jun;5(2):024001.,2011,21498893
Personal exposure to particulate matter is associated with worse health perception in adult asthma.,J Investig Allergol Clin Immunol 2011 ;21(2):120-8.,2011,21462802
Breath profiles by electronic nose correlate with systemic markers but not ozone response.,Respir Med 2011 Sep;105(9):1352-63.,2011,21439804
Non-invasive study of airways inflammation in sleep apnea patients.,Sleep Med Rev 2011 Oct;15(5):317-26.,2011,21376645
Nitric oxide for inhalation in the acute treatment of sickle cell pain crisis: a randomized controlled trial.,JAMA 2011 Mar;305(9):893-902.,2011,21364138
Airway and alveolar nitric oxide measurements in obstructive sleep apnea syndrome.,Respir Med 2011 Apr;105(4):630-6.,2011,21232930
[Nitric oxide in exhaled breath of patients with interstitial lung diseases].,Pneumologie 2011 Mar;65(3):143-8.,2011,21117021
The increase in exhaled NO following allergen challenge is not associated with airway acidification.,Eur. J. Clin. Invest. 2011 Apr;41(4):411-6.,2011,21114492
Exhaled NO and exhaled breath condensate pH in the evaluation of asthma control.,Respir Med 2011 Apr;105(4):526-32.,2011,21051211
RANTES in exhaled breath condensate of patients with severe persistent allergic asthma during omalizumab therapy.,Int. Arch. Allergy Immunol. 2011 ;154(1):25-32.,2011,20664274
Exhaled carbon monoxide in airway diseases: from research findings to clinical relevance.,J Breath Res 2010 Dec;4(4):047102.,2010,21383489
Exercise increases exhaled breath condensate cysteinyl leukotriene concentration in asthmatic patients.,J Asthma 2010 Nov;47(9):1057-62.,2010,20868319
Beneficial effects of nitric oxide breathing in adult patients with sickle cell crisis.,Am. J. Hematol. 2010 Oct;85(10):800-2.,2010,20799359
Exhaled air temperature in children with bronchopulmonary dysplasia.,Pediatr. Pulmonol. 2010 Dec;45(12):1240-5.,2010,20717936
Application of non-invasive biomarkers in a birth cohort follow-up in relation to respiratory health outcome.,Biomarkers 2010 Nov;15(7):583-93.,2010,20662605
Nitric oxide in exhaled breath is poorly correlated to sputum eosinophils in patients with prednisone-dependent asthma.,J. Allergy Clin. Immunol. 2010 Aug;126(2):404-6.,2010,20621343
Exhaled nitric oxide and exhaled breath condensate pH in severe refractory asthma.,Chest 2010 Jul;138(1):107-13.,2010,20173051
Pulmonary inflammation in asbestos-exposed subjects with borderline parenchymal changes on HRCT.,Respir Med 2010 Jul;104(7):1042-9.,2010,20163943
Mechanical ventilation induces changes in exhaled breath condensate of patients without lung injury.,Respir Med 2010 Jun;104(6):822-8.,2010,20138493
Two variants of occupational asthma separable by exhaled breath nitric oxide level.,Respir Med 2010 Jun;104(6):873-9.,2010,20129769
Effects of a manual medicine treatment procedures on nitric oxide release in 23 healthy adults.,J Manipulative Physiol Ther 2010 Jan;33(1):76-9.,2010,20114104
Quantifying proximal and distal sources of NO in asthma using a multicompartment model.,J. Appl. Physiol. 2010 Apr;108(4):821-9.,2010,20093668
"Diagnostic performance of an electronic nose, fractional exhaled nitric oxide, and lung function testing in asthma.",Chest 2010 Apr;137(4):790-6.,2010,20081096
Changes in exhaled nitric oxide and breath pH during fluticasone wean in asthma.,Respiration 2010 ;79(3):193-9.,2010,19786726
Bronchial nitric oxide is related to symptom relief during fluticasone treatment in COPD.,Eur. Respir. J. 2010 Jan;35(1):72-8.,2010,19574327
"Biomarkers obtained by non-invasive methods in patients with COPD: where do we stand, what do we expect?",Curr. Med. Chem. 2009 ;16(22):2824-38.,2009,19689266
Exhaled breath condensate and airway inflammation.,Curr Opin Allergy Clin Immunol 2009 Feb;9(1):16-22.,2009,19532089
Exhaled nitric oxide and breath condensate ph in asthmatic reactions induced by isocyanates.,Chest 2009 Jul;136(1):155-162.,2009,19225065
Levels of pollutants in indoor air and respiratory health in preschool children: a systematic review.,Pediatr. Pulmonol. 2009 Mar;44(3):231-43.,2009,19206181
Iron and ferritin concentrations in exhaled breath condensate of children with asthma.,J Asthma 2009 Feb;46(1):81-5.,2009,19191143
Peroxynitrite elevation in exhaled breath condensate of COPD and its inhibition by fudosteine.,Chest 2009 Jun;135(6):1513-1520.,2009,19188555
Airway hyperresponsiveness and airway inflammation in elite swimmers.,Clin Respir J 2009 Jan;3(1):62.,2009,20298376
"Effects of aminoguanidine, an inhibitor of inducible nitric oxide synthase, on nitric oxide production and its metabolites in healthy control subjects, healthy smokers, and COPD patients.",Chest 2009 Feb;135(2):353-367.,2009,18719059
PM2.5 and volatile organic compounds (VOCs) in ambient air: a focus on the effect of meteorology.,Environ Monit Assess 2009 May;152(1-4):83-95.,2009,18536869
Nitric oxide and the paranasal sinuses.,Anat Rec (Hoboken) 2008 Nov;291(11):1479-84.,2008,18951492
Exhaled and arterial levels of endothelin-1 are increased and correlate with pulmonary systolic pressure in COPD with pulmonary hypertension.,BMC Pulm Med 2008 Sep;8:20.,2008,18822124
[Measurement of pulmonary inflammation in cystic fibrosis].,Rev Mal Respir 2008 Jun;25(6):705-24.,2008,18772828
Partitioned exhaled nitric oxide to non-invasively assess asthma.,Respir Physiol Neurobiol 2008 Nov;163(1-3):166-77.,2008,18718562
"Air pollution, airway inflammation, and lung function in a cohort study of Mexico City schoolchildren.",Environ. Health Perspect. 2008 Jun;116(6):832-8.,2008,18560490
Airway responsiveness and inflammation in adolescent elite swimmers.,"J. Allergy Clin. Immunol. 2008 Aug;122(2):322-7, 327.e1.",2008,18554704
The clinical utility of biomarkers in asthma and COPD.,Curr Opin Pharmacol 2008 Jun;8(3):222-35.,2008,18468485
Endothelin-1 in exhaled breath condensate of stable and unstable asthma patients.,Respir Med 2008 Mar;102(3):470-4.,2008,18396516
Effect of heterogeneous ventilation and nitric oxide production on exhaled nitric oxide profiles.,J. Appl. Physiol. 2008 Jun;104(6):1743-52.,2008,18356478
The clinical significance of exhaled nitric oxide in asthma.,Can. Respir. J. 2008 Mar;15(2):99-106.,2008,18354750
[Relationship between cysteinyl leukotriene in exhaled breath condensate and the severity of asthma in adult asthmatics in Japan].,Arerugi 2008 Feb;57(2):121-9.,2008,18349586
Respiratory inflammatory responses among occupants of a water-damaged office building.,Indoor Air 2008 Apr;18(2):125-30.,2008,18333992
Validation study of nasal nitric oxide measurements using a hand-held electrochemical analyser.,Eur. J. Clin. Invest. 2008 Mar;38(3):197-200.,2008,18257783
Exhaled nitric oxide in the diagnosis and management of asthma.,Curr Opin Allergy Clin Immunol 2008 Feb;8(1):70-6.,2008,18188021
Increased bronchial NO output in severe atopic eczema in children and adolescents.,Pediatr Allergy Immunol 2008 Aug;19(5):426-32.,2008,18167156
The effect of acute pain crisis on exhaled nitric oxide levels in children with sickle cell disease.,Pediatr Blood Cancer 2008 Jan;50(1):111-3.,2008,16619223
[The effect of chronic intermittent hypoxia caused by obstructive sleep apnea hypopnea syndrome on blood pressure].,Zhonghua Jie He He Hu Xi Za Zhi 2007 Dec;30(12):898-903.,2007,18336764
Dynamics of nitroglycerin-induced exhaled nitric oxide after lung transplantation: evidence of pulmonary microvascular injury?,J. Heart Lung Transplant. 2007 Dec;26(12):1300-5.,2007,18096482
Longitudinal monitoring of pediatric cystic fibrosis lung disease using nitrite in exhaled breath condensate.,Pediatr. Pulmonol. 2007 Dec;42(12):1198-206.,2007,17968999
"Bronchoalveolar lavage, sputum and exhaled clinically relevant inflammatory markers: values in healthy adults.",Eur. Respir. J. 2007 Oct;30(4):769-81.,2007,17906085
Exhaled breath biomarkers in asthmatic children.,Inflamm Allergy Drug Targets 2007 Sep;6(3):150-9.,2007,17897051
"The role of exhaled nitric oxide in the diagnosis, management and treatment of asthma.",Mini Rev Med Chem 2007 May;7(5):539-42.,2007,17504190
The use of exhaled nitric oxide to guide asthma management: a randomized controlled trial.,Am. J. Respir. Crit. Care Med. 2007 Aug;176(3):231-7.,2007,17496226
Reference ranges for exhaled nitric oxide derived from a random community survey of adults.,Am. J. Respir. Crit. Care Med. 2007 Aug;176(3):238-42.,2007,17478616
Detection of nitric oxide in exhaled human breath: exercise and resting determinations.,Med. Sci. Monit. 2007 Mar;13(3):MT1-5.,2007,17325642
Metabolomics applied to exhaled breath condensate in childhood asthma.,Am. J. Respir. Crit. Care Med. 2007 May;175(10):986-90.,2007,17303796
Bias and confounding in longitudinal measures of exhaled monoxides.,J Expo Sci Environ Epidemiol 2007 Sep;17(6):583-90.,2007,17290230
Respiratory heat and moisture loss is associated with eosinophilic inflammation in asthma.,Eur. Respir. J. 2007 Apr;29(4):676-81.,2007,17135230
Airway nitric oxide release is reduced after PBS inhalation in asthma.,J. Appl. Physiol. 2007 Mar;102(3):1028-33.,2007,17110506
"Is the ""instant flow"" option on the NIOX analyser needed?",Med Eng Phys 2007 Jan;29(1):72-5.,2007,16531093
Exhaled biomarkers.,Chest 2006 Nov;130(5):1541-6.,2006,17099035
Exhaled NO and breath condensate.,Paediatr Respir Rev 2006 ;7 Suppl 1:S20-2.,2006,16798565
Longitudinal monitoring of lung injury in children after acute chlorine exposure in a swimming pool.,Am. J. Respir. Crit. Care Med. 2006 Sep;174(5):545-9.,2006,16763216
Noninvasive monitoring of airway inflammation and steroid reduction in children with asthma.,Curr Opin Allergy Clin Immunol 2006 Jun;6(3):155-60.,2006,16670506
Fractional exhaled nitric oxide concentration is increased in asbestosis and pleural plaques.,Respirology 2006 May;11(3):325-9.,2006,16635093
Markers of lung disease in exhaled breath: nitric oxide.,Biol Res Nurs 2006 Apr;7(4):241-55.,2006,16581895
ATS Workshop Proceedings: Exhaled nitric oxide and nitric oxide oxidative metabolism in exhaled breath condensate: Executive summary.,Am. J. Respir. Crit. Care Med. 2006 Apr;173(7):811-3.,2006,16556701
Modulation of nitric oxide pathways: therapeutic potential in asthma and chronic obstructive pulmonary disease.,Eur. J. Pharmacol. 2006 Mar;533(1-3):263-76.,2006,16466650
Variability of nitric oxide metabolites in exhaled breath condensate.,Respir Med 2006 Jan;100(1):123-9.,2006,15885998
Exhaled nitric oxide in children with asthma and short-term PM2.5 exposure in Seattle.,Environ. Health Perspect. 2005 Dec;113(12):1791-4.,2005,16330366
The biology of exhaled nitric oxide (NO) in ischemia-reperfusion-induced lung injury: a tale of dynamism of NO production and consumption.,Vascul. Pharmacol. 2005 Dec;43(6):415-24.,2005,16290246
Exhaled breath condensate as a method of sampling airway nitric oxide and other markers of inflammation.,Med. Sci. Monit. 2005 Aug;11(8):MT53-62.,2005,16049390
Short and long-term effects of cigarette smoking independently influence exhaled nitric oxide concentration in asthma.,J. Allergy Clin. Immunol. 2005 Jul;116(1):88-93.,2005,15990779
Analysis of growth factors and inflammatory cytokines in exhaled breath condensate from asthmatic children.,Int. Arch. Allergy Immunol. 2005 May;137(1):66-72.,2005,15832052
Korea red ginseng water extract increases nitric oxide concentrations in exhaled breath.,Nitric Oxide 2005 May;12(3):159-62.,2005,15797844
Does consumption of ethanol distort measurements of exhaled nitric oxide?,Respir Med 2005 Feb;99(2):196-9.,2005,15715186
Clinical use of noninvasive measurements of airway inflammation in steroid reduction in children.,Am. J. Respir. Crit. Care Med. 2005 May;171(10):1077-82.,2005,15709050
Exhaled breath measures of inflammation: are they useful in neonatal chronic lung disease?,Arch. Dis. Child. Fetal Neonatal Ed. 2005 Jan;90(1):F6-10.,2005,15613578
Epithelial inducible nitric oxide synthase activity is the major determinant of nitric oxide concentration in exhaled breath.,Thorax 2004 Sep;59(9):757-60.,2004,15333851
"[Non-invasive methods for monitoring airway inflammation: a comparison of expenditures, gain and clinical value].",Pneumologie 2004 Jul;58(7):510-5.,2004,15257474
"Childhood asthma: exhaled markers of airway inflammation, asthma control score, and lung function tests.",Pediatr. Pulmonol. 2004 Aug;38(2):107-14.,2004,15211692
Decreased arginine bioavailability and increased serum arginase activity in asthma.,Am. J. Respir. Crit. Care Med. 2004 Jul;170(2):148-53.,2004,15070820
Plasma levels of TNF-alpha in sickle cell patients receiving hydroxyurea.,Hematology 2004 Feb;9(1):61-4.,2004,14965870
Modeling pulmonary nitric oxide exchange.,J. Appl. Physiol. 2004 Mar;96(3):831-9.,2004,14766761
Changes in pulmonary vascular function after acute methionine loading in normal men.,Clin. Sci. 2004 Apr;106(4):413-9.,2004,14709159
Effects of expiratory pressure on nitric oxide in exhaled breath. Is exhaled nitric oxide really unaffected by pressure?,Respir Physiol Neurobiol 2003 Dec;139(1):33-40.,2003,14637308
Slower rise of exhaled breath temperature in chronic obstructive pulmonary disease.,Eur. Respir. J. 2003 Mar;21(3):439-43.,2003,12661998
