title,citation,year,pmid
The cough receptor TRPV1 agonists 15(S)-HETE and LTB4 in the cough response to hypertonicity.,Inflamm Allergy Drug Targets 2012 Apr;11(2):102-8.,2012,22280233
Neutrophilic airways inflammation in lung cancer: the role of exhaled LTB-4 and IL-8.,BMC Cancer 2011 Jun;11:226.,2011,21649887
Effects of inhalation of thermal water on exhaled breath condensate in chronic obstructive pulmonary disease.,Respiration 2010 ;79(3):216-21.,2010,19590158
"Leukotriene B4, 8-iso-prostaglandin F2 alpha, and pH in exhaled breath condensate from asymptomatic smokers.",J. Physiol. Pharmacol. 2009 Nov;60 Suppl 5:57-60.,2009,20134040
"Measurement of tumor necrosis factor-alpha, leukotriene B4, and interleukin 8 in the exhaled breath condensate in patients with acute exacerbations of chronic obstructive pulmonary disease.",Int J Chron Obstruct Pulmon Dis 2009 ;4:79-86.,2009,19436689
LC/MS/MS analysis of leukotriene B4 and other eicosanoids in exhaled breath condensate for assessing lung inflammation.,J. Chromatogr. B Analyt. Technol. Biomed. Life Sci. 2009 May;877(13):1272-80.,2009,19233745
Inflammatory and oxidative stress biomarkers in allergic rhinitis: the effect of smoking.,Clin. Exp. Allergy 2009 Mar;39(3):345-53.,2009,19187324
[Determination and clinical implication of leukotriene B(4) and tumor necrosis factor-alpha in condensate of exhaled breath of chronic obstructive pulmonary disease patients].,Zhongguo Wei Zhong Bing Ji Jiu Yi Xue 2008 Jun;20(6):357-60.,2008,18549718
"Influence of condensing equipment and temperature on exhaled breath condensate pH, total protein and leukotriene concentrations.",Respir Med 2008 May;102(5):720-5.,2008,18249106
"Increased levels of cysteinyl-leukotrienes in saliva, induced sputum, urine and blood from patients with aspirin-intolerant asthma.",Thorax 2008 Dec;63(12):1076-82.,2008,18757457
Exhaled breath condensate analysis: evaluation of a methodological setting for epidemiological field studies.,J. Physiol. Pharmacol. 2007 Nov;58 Suppl 5(Pt 1):289-98.,2007,18204138
Variability of exhaled breath condensate leukotriene B4 and 8-isoprostane in COPD patients.,Int J Chron Obstruct Pulmon Dis 2007 ;2(1):71-6.,2007,18044068
Reproducibility of exhaled biomarkers in COPD--the road less traveled.,Int J Chron Obstruct Pulmon Dis 2007 ;2(1):2-3.,2007,18044058
Saliva is one likely source of leukotriene B4 in exhaled breath condensate.,Eur. Respir. J. 2006 Dec;28(6):1229-35.,2006,16971403
[Systemic and lung inflammation in 2 phenotypes of chronic obstructive pulmonary disease].,Arch. Bronconeumol. 2006 Jul;42(7):332-7.,2006,16945263
Clinical and technical factors affecting pH and other biomarkers in exhaled breath condensate.,Pediatr. Pulmonol. 2006 Jan;41(1):87-94.,2006,16292777
Biomarkers of neutrophilic inflammation in exhaled air of cystic fibrosis children with bacterial airway infections.,Pediatr. Pulmonol. 2005 Dec;40(6):494-9.,2005,16229003
Effects of cyclo-oxygenase inhibition on exhaled eicosanoids in patients with COPD.,Thorax 2005 Oct;60(10):827-33.,2005,16192367
Clinical and atopic parameters and airway inflammatory markers in childhood asthma: a factor analysis.,Thorax 2005 Oct;60(10):822-6.,2005,16055623
Inverse association between Chlamydia pneumoniae respiratory tract infection and initiation of asthma or allergic rhinitis in children.,Pediatr Allergy Immunol 2005 Mar;16(2):137-44.,2005,15787871
The relation between obesity and asthmatic airway inflammation.,Pediatr Allergy Immunol 2004 Aug;15(4):344-50.,2004,15305944
Exhaled breath condensate eicosanoids and sputum eosinophils in asthmatic children: a pilot study.,Pediatr Allergy Immunol 2004 Feb;15(1):26-31.,2004,14998379
Suppression of leukotriene B4 generation by ex-vivo neutrophils isolated from asthma patients on dietary supplementation with gammalinolenic acid-containing borage oil: possible implication in asthma.,Clin. Dev. Immunol. 2004 Mar;11(1):13-21.,2004,15154607
Increased inflammatory markers in the exhaled breath condensate of cigarette smokers.,Eur. Respir. J. 2003 Apr;21(4):589-93.,2003,12762340
Validation of leukotriene B4 measurements in exhaled breath condensate.,Inflamm. Res. 2003 Feb;52(2):69-73.,2003,12665124
Exhaled nitric oxide correlated with induced sputum findings in COPD.,Chest 2001 Apr;119(4):1049-55.,2001,11296168
Protective effects of nedocromil sodium on cellular and biohumoral components present in the bronchial alveolar lavage fluid and in peripheral blood in atopic asthmatics.,Respiration 1994 ;61(4):207-13.,1994,7973106
"Increased plasma levels of atrial natriuretic factor, renin activity, and leukotriene C4 in chronic obstructive pulmonary disease.",Chest 1993 Aug;104(2):454-9.,1993,8393399
Hyperoxic exposure in humans. Effects of 50 percent oxygen on alveolar macrophage leukotriene B4 synthesis.,Chest 1992 Feb;101(2):392-7.,1992,1310457
Novel perspectives in the detection of oral and nasal oxidative stress and inflammation in pediatric united airway diseases.,Int J Immunopathol Pharmacol 2010 Oct-Dec;23(4):1211-9.,,21244770
Breath markers of oxidative stress and airway inflammation in Seasonal Allergic Rhinitis.,Int J Immunopathol Pharmacol 2008 Oct-Dec;21(4):949-57.,,19144280
The respiratory effects of volatile organic compounds.,Int J Occup Environ Health 2000 Jan-Mar;6(1):1-8.,,10637531
Inflammatory response to sputum induction measured by exhaled markers.,Respiration 2005 Nov-Dec;72(6):594-9.,,15988171
