title,citation,year,pmid
Effect of fluticasone propionate-salmeterol therapy on seasonal changes in airway responsiveness and exhaled nitric oxide levels in patients with pollen-induced asthma.,Ann. Allergy Asthma Immunol. 2005 Nov;95(5):452-61.,2005,16312168
Dose-response comparison of budesonide dry powder inhalers using adenosine monophosphate bronchial challenge.,Ann. Allergy Asthma Immunol. 2005 Jun;94(6):675-81.,2005,15984601
Benefit from anti-inflammatory treatment during clinical remission of atopic asthma.,Respir Med 2005 Jun;99(6):779-87.,2005,15878496
Exhaled nitric oxide in the diagnosis of asthma: comparison with bronchial provocation tests.,Thorax 2005 May;60(5):383-8.,2005,15860713
Timing and nature of wheezing at the endpoint of a bronchial challenge in preschool children.,Pediatr. Pulmonol. 2005 Mar;39(3):262-7.,2005,15668938
Adenosine 5'-monophosphate increases levels of leukotrienes in breath condensate in asthma.,Respir Med 2004 Jul;98(7):651-5.,2004,15250231
Exhaled nitric oxide levels and airway responsiveness to adenosine 5'-monophosphate in subjects with nasal polyposis.,Int. Arch. Allergy Immunol. 2004 Aug;134(4):303-9.,2004,15205562
Duration of effect of single-dose inhaled fluticasone propionate on AMP-induced bronchoconstriction.,Eur. Respir. J. 2004 Apr;23(4):559-64.,2004,15083754
Repeated dosing effects of mediator antagonists in inhaled corticosteroid-treated atopic asthmatic patients.,Chest 2004 Apr;125(4):1372-7.,2004,15078748
"Butterbur, a herbal remedy, confers complementary anti-inflammatory activity in asthmatic patients receiving inhaled corticosteroids.",Clin. Exp. Allergy 2004 Jan;34(1):110-4.,2004,14720270
A synthetic VIP peptide analogue inhibits neutrophil recruitment in rat airways in vivo.,Regul. Pept. 2004 Feb;117(2):149-54.,2004,14700751
The effect of montelukast on bronchial provocation tests and exhaled nitric oxide levels in asthmatic patients.,Isr. Med. Assoc. J. 2003 Nov;5(11):778-81.,2003,14650101
Airway responsiveness to adenosine 5'-monophosphate and exhaled nitric oxide measurements: predictive value as markers for reducing the dose of inhaled corticosteroids in asthmatic subjects.,Chest 2003 Oct;124(4):1325-33.,2003,14555562
Exhaled nitric oxide is age-dependent in asthma.,Pediatr. Pulmonol. 2003 Nov;36(5):433-8.,2003,14520727
[New techniques in the study of asthma].,An Sist Sanit Navar 2003 ;26 Suppl 2:57-63.,2003,13679964
Leukotriene C4 synthase polymorphisms and responsiveness to leukotriene antagonists in asthma.,Br J Clin Pharmacol 2003 Oct;56(4):422-6.,2003,12968987
Effects of fluticasone plus salmeterol versus twice the dose of fluticasone in asthmatic patients.,Eur. J. Clin. Pharmacol. 2003 May;59(1):11-5.,2003,12743669
The skin vasoconstrictor assay does not correlate significantly to airway or systemic responsiveness to inhaled budesonide in asthmatic patients.,Eur. J. Clin. Pharmacol. 2003 Feb;58(10):643-7.,2003,12610738
Effects of montelukast on surrogate inflammatory markers in corticosteroid-treated patients with asthma.,Am. J. Respir. Crit. Care Med. 2003 May;167(9):1232-8.,2003,12456382
Concentrations of exhaled nitric oxide in asthmatics and subjects with allergic rhinitis sensitized to the same pollen allergen.,Clin. Exp. Allergy 2002 Dec;32(12):1728-33.,2002,12653163
Modifications of airway responsiveness to adenosine 5'-monophosphate and exhaled nitric oxide concentrations after the pollen season in subjects with pollen-induced rhinitis.,Chest 2002 Sep;122(3):940-7.,2002,12226036
Effect of salmeterol on seasonal changes in airway responsiveness and exhaled nitric oxide in pollen-sensitive asthmatic subjects.,Chest 2002 Sep;122(3):798-805.,2002,12226016
Exhaled nitric oxide and bronchial responsiveness to adenosine 5'-monophosphate in subjects with allergic rhinitis.,Chest 2002 Jun;121(6):1853-9.,2002,12065349
Airway inflammation is present during clinical remission of atopic asthma.,Am. J. Respir. Crit. Care Med. 2001 Dec;164(11):2107-13.,2001,11739143
Effects of acetate infusion and hyperoxia on muscle substrate phosphorylation after onset of moderate exercise.,Am. J. Physiol. Endocrinol. Metab. 2001 Dec;281(6):E1144-50.,2001,11701427
Corticosteroid-induced improvement in the PC20 of adenosine monophosphate is more closely associated with reduction in airway inflammation than improvement in the PC20 of methacholine.,Am. J. Respir. Crit. Care Med. 2001 Oct;164(7):1127-32.,2001,11673197
PC(20) adenosine 5'-monophosphate is more closely associated with airway inflammation in asthma than PC(20) methacholine.,Am. J. Respir. Crit. Care Med. 2001 Jun;163(7):1546-50.,2001,11401871
A comparison of topical budesonide and oral montelukast in seasonal allergic rhinitis and asthma.,Clin. Exp. Allergy 2001 Apr;31(4):616-24.,2001,11359431
Evaluation of salmeterol or montelukast as second-line therapy for asthma not controlled with inhaled corticosteroids.,Chest 2001 Apr;119(4):1021-6.,2001,11296164
"Effect of inhaled ciclesonide on airway responsiveness to inhaled AMP, the composition of induced sputum and exhaled nitric oxide in patients with mild asthma.",Pulm Pharmacol Ther 2001 ;14(2):141-7.,2001,11273796
Effects of once-daily formoterol and budesonide given alone or in combination on surrogate inflammatory markers in asthmatic adults.,Chest 2000 Oct;118(4):1049-58.,2000,11035676
Adolescents in clinical remission of atopic asthma have elevated exhaled nitric oxide levels and bronchial hyperresponsiveness.,Am. J. Respir. Crit. Care Med. 2000 Sep;162(3 Pt 1):953-7.,2000,10988112
Mometasone furoate antagonizes AMP-induced bronchoconstriction in patients with mild asthma.,J. Allergy Clin. Immunol. 2000 May;105(5):906-11.,2000,10808170
Non-invasive evaluation of lower airway inflammation in hyper-responsive elite cross-country skiers and asthmatics.,Respir Med 1999 Oct;93(10):719-25.,1999,10581661
Effect of endogenous nitric oxide inhibition on airway responsiveness to histamine and adenosine-5'-monophosphate in asthma.,Thorax 1998 Jun;53(6):483-9.,1998,9713448
"Respiratory sensation during bronchial challenge testing with methacholine, sodium metabisulphite, and adenosine monophosphate.",Thorax 1996 Aug;51(8):793-8.,1996,8795666
"Adenosine, methacholine, and exercise challenges in children with asthma or paediatric chronic obstructive pulmonary disease.",Thorax 1995 May;50(5):511-6.,1995,7597663
"Airway function, inflammation and regulatory T cell function in subjects in asthma remission.",Can. Respir. J. 2012 Jan-Feb;19(1):19-25.,,22332127
Clinical models to compare the safety and efficacy of inhaled corticosteroids in patients with asthma.,Can. Respir. J. 2003 Jan-Feb;10(1):27-34.,,12624619
