title,citation,year,pmid
Effects of respiratory alkalosis on human skeletal muscle metabolism at the onset of submaximal exercise.,J. Physiol. (Lond.) 2002 Oct;544(Pt 1):303-13.,2002,12356901
Longevity: don't hold your breath.,Nature 2002 Jul;418(6895):287-8.,2002,12124610
Skeletal muscle metabolism is unaffected by DCA infusion and hyperoxia after onset of intense aerobic exercise.,Am. J. Physiol. Endocrinol. Metab. 2002 Jul;283(1):E108-15.,2002,12067850
Augmentation of death ligand-induced apoptosis by aminopeptidase inhibitors in human solid tumor cell lines.,Int. J. Cancer 2001 Nov;94(4):485-91.,2001,11745433
Pharmacology of airway afferent nerve activity.,Respir. Res. 2001 ;2(4):234-44.,2001,11686889
Signaling takes a breath--new quantitative perspectives on bioenergetics and signal transduction.,Immunity 2001 Oct;15(4):497-502.,2001,11672532
"Perturbed equilibria of myosin binding in airway smooth muscle: bond-length distributions, mechanics, and ATP metabolism.",Biophys. J. 2000 Nov;79(5):2667-81.,2000,11053139
Intersample fluctuations in phosphocreatine concentration determined by 31P-magnetic resonance spectroscopy and parameter estimation of metabolic responses to exercise in humans.,J. Physiol. (Lond.) 2000 Oct;528 Pt 2:359-69.,2000,11034625
Effects of PDH activation by dichloroacetate in human skeletal muscle during exercise in hypoxia.,Am. J. Physiol. Endocrinol. Metab. 2000 Oct;279(4):E752-61.,2000,11001755
Altered energy metabolism after myocardial infarction assessed by 31P-MR-spectroscopy in humans.,Eur Radiol 2000 ;10(8):1323-8.,2000,10939500
Regulation of glycogen phosphorylase and PDH during exercise in human skeletal muscle during hypoxia.,Am. J. Physiol. Endocrinol. Metab. 2000 Mar;278(3):E522-34.,2000,10710508
Inferences from pulmonary O2 uptake with respect to intramuscular [phosphocreatine] kinetics during moderate exercise in humans.,J. Physiol. (Lond.) 1999 Aug;518 ( Pt 3):921-32.,1999,10421675
Simultaneous determination of muscle 31P and O2 uptake kinetics during whole body NMR spectroscopy.,J. Appl. Physiol. 1999 Feb;86(2):742-7.,1999,9931216
Muscle energetics and pulmonary oxygen uptake kinetics during moderate exercise.,J. Appl. Physiol. 1994 Oct;77(4):1742-9.,1994,7836194
Myocardial oxygen supply and lactate metabolism during marked arterial hypoxaemia.,Acta Physiol. Scand. 1993 Nov;149(3):303-10.,1993,8310835
Human skeletal muscle function and metabolism during intense exercise at high O2 and N2 pressures.,J. Appl. Physiol. 1987 Aug;63(2):571-5.,1987,3654415
