title,citation,year,pmid
Somatostatin receptor scintigraphy in sarcoidosis: relation to selected clinical and laboratory markers.,Pol. Arch. Med. Wewn. 2012 ;122(3):98-106.,2012,22249433
Exhaled breath condensate: a breathalyzer for lung inflammation.,Pediatr Crit Care Med 2012 Mar;13(2):212-4.,2012,22391827
Correlation between eicosanoids in bronchoalveolar lavage fluid and in exhaled breath condensate.,Dis. Markers 2011 ;30(5):213-20.,2011,21734340
Short-term changes in respiratory biomarkers after swimming in a chlorinated pool.,Environ. Health Perspect. 2010 Nov;118(11):1538-44.,2010,20833607
Oxidative stress and airway inflammation after allergen challenge evaluated by exhaled breath condensate analysis.,Clin. Exp. Allergy 2010 Nov;40(11):1642-7.,2010,20726860
Health changes in fishermen 2 years after clean-up of the Prestige oil spill.,Ann. Intern. Med. 2010 Oct;153(8):489-98.,2010,20733177
Assessment of airway inflammation by exhaled breath condensate and impedance due to gastroesophageal reflux disease (GERD).,Inflamm Allergy Drug Targets 2009 Sep;8(4):292-6.,2009,19754413
Measurement of nitric oxide and 8-isoprostane in exhaled breath of children with atopic eczema.,Clin. Exp. Dermatol. 2009 Jul;34(5):607-12.,2009,19508477
Reduced exhaled breath condensate pH in asthmatic smokers using inhaled corticosteroids.,Respirology 2009 Apr;14(3):419-23.,2009,19353777
Comparison of 8-isoprostane and interleukin-8 in induced sputum and exhaled breath condensate from asymptomatic and symptomatic smokers.,Respiration 2009 ;78(2):209-16.,2009,19252398
"Impact of age on pH, 8-isoprostane, and nitrogen oxides in exhaled breath condensate.",Chest 2009 Feb;135(2):462-467.,2009,19017879
"VEGF, TNF-alpha and 8-isoprostane levels in exhaled breath condensate and serum of patients with lung cancer.",Lung Cancer 2009 May;64(2):219-25.,2009,18845357
8-Isoprostane in exhaled breath condensate and exercise-induced bronchoconstriction in asthmatic children and adolescents.,Chest 2009 Jan;135(1):66-73.,2009,18753466
Exhaled breath condensate cytokine level as a diagnostic tool for obstructive sleep apnea syndrome.,Sleep Med. 2009 Jan;10(1):95-103.,2009,18207457
Persistence of oxidant and protease burden in the airways after smoking cessation.,BMC Pulm Med 2009 May;9:25.,2009,19473482
"Increased 8-isoprostane, a marker of oxidative stress in exhaled breath condensate in subjects with asbestos exposure.",Ind Health 2008 Oct;46(5):484-9.,2008,18840939
Leukotrienes and 8-isoprostane in exhaled breath condensate in bronchoprovocation tests with occupational allergens.,Prostaglandins Leukot. Essent. Fatty Acids 2008 Apr-May;78(4-5):281-92.,2008,18513935
Chronic obstructive pulmonary disease phenotyping: a possible role for 8-isoprostane measurement in exhaled breath condensate?,Respiration 2008 ;75(2):134-5.,2008,18332620
Are biomarker levels a good follow-up tool for evaluating obstructive sleep apnea syndrome treatments?,Respiration 2008 ;76(3):317-23.,2008,18311073
The value of sputum 8-isoprostane in detecting oxidative stress in mild asthma.,J Asthma 2008 Mar;45(2):149-54.,2008,18350407
Collection devices influence the constituents of exhaled breath condensate.,Eur. Respir. J. 2007 Oct;30(4):807-8.,2007,17906090
Proton pump inhibitor improves breath marker in moderate asthma with gastroesophageal reflux disease.,Respiration 2007 ;74(5):558-64.,2007,17389779
Inflammatory proteins in patients with obstructive sleep apnea with and without daytime sleepiness.,Sleep Breath 2007 Sep;11(3):177-85.,2007,17279423
Breath condenser coatings affect measurement of biomarkers in exhaled breath condensate.,Eur. Respir. J. 2006 Nov;28(5):1036-41.,2006,16870660
Safety and feasibility of exhaled breath condensate collection in ventilated infants and children.,Eur. Respir. J. 2006 Sep;28(3):479-85.,2006,16641124
Effects of short-term isocapnic hyperoxia and hypoxia on cardiovascular function.,J. Appl. Physiol. 2006 Sep;101(3):809-16.,2006,16902069
Airway inflammation in subjects with gastro-oesophageal reflux and gastro-oesophageal reflux-related asthma.,J. Intern. Med. 2006 Mar;259(3):323-31.,2006,16476110
"Inflammatory mediators in exhaled breath, induced sputum and saliva.",Clin. Exp. Allergy 2005 Sep;35(9):1180-5.,2005,16164445
Exhaled Interleukine-6 and 8-isoprostane in chronic obstructive pulmonary disease: effect of carbocysteine lysine salt monohydrate (SCMC-Lys).,Eur. J. Pharmacol. 2004 Nov;505(1-3):169-75.,2004,15556150
"8-Isoprostane, a marker of oxidative stress, is increased in the expired breath condensate of patients with pulmonary sarcoidosis.",Chest 2004 Mar;125(3):1005-11.,2004,15006961
"8-Isoprostane, a marker of oxidative stress, is increased in exhaled breath condensate of patients with obstructive sleep apnea after night and is reduced by continuous positive airway pressure therapy.",Chest 2003 Oct;124(4):1386-92.,2003,14555570
Increased exhaled 8-isoprostane in childhood asthma.,Chest 2003 Jul;124(1):25-31.,2003,12853498
Ozone-induced increase in exhaled 8-isoprostane in healthy subjects is resistant to inhaled budesonide.,Free Radic. Biol. Med. 2002 Nov;33(10):1403-8.,2002,12419472
Exhaled 8-isoprostane as an in vivo biomarker of lung oxidative stress in patients with COPD and healthy smokers.,Am. J. Respir. Crit. Care Med. 2000 Sep;162(3 Pt 1):1175-7.,2000,10988150
Exhaled 8-isoprostane as a new non-invasive biomarker of oxidative stress in cystic fibrosis.,Thorax 2000 Mar;55(3):205-9.,2000,10679539
Exhaled breath condensate isoprostanes are elevated in patients with acute lung injury or ARDS.,Chest 1998 Dec;114(6):1653-9.,1998,9872202
The efficacy of single-high dose inhaled corticosteroid versus oral prednisone treatment on exhaled leukotriene and 8-isoprostane levels in mild to moderate asthmatic children with asthma exacerbation.,Allergol Immunopathol (Madr) 2016 Mar-Apr;44(2):138-48.,,26318413
Evaluation of oxidative stress using exhaled breath 8-isoprostane levels on chronic kidney disease.,Niger J Clin Pract 2014 May-Jun;17(3):356-60.,,24714017
ROCK activation in lung of idiopathic pulmonary fibrosis with oxidative stress.,Int J Immunopathol Pharmacol 2014 Jan-Mar;27(1):37-44.,,24674677
