name,meshid,meshname,scope
Cough,D003371,Cough,"A sudden, audible expulsion of air from the lungs through a partially closed glottis, preceded by inhalation. It is a protective response that serves to clear
the trachea, bronchi, and/or lungs of irritants and secretions, or to prevent
aspiration of foreign materials into the lungs."
"non-small cell lung cancer, lung neoplasms",D008175,Lung Neoplasms,Tumors or cancer of the LUNG.
Pulmonary Lobectomy,D011013,Pneumonectomy,The excision of lung tissue including partial or total lung lobectomy.
occupational respiratory diseases,D012120,Respiration Disorders,"Diseases of the respiratory system in general or unspecified or for a specific respiratory disease not available.
Year introduced: 1977"
allergic rhinitis with asthma,D012221,"Rhinitis, Allergic, Perennial","Inflammation of the mucous membrane of the nose similar to that found in hay fever except that symptoms persist throughout the year. The causes are usually
air-borne allergens, particularly dusts, feathers, molds, animal fur, etc.
Year introduced: 1980"
sarcoidosis,D012507,Sarcoidosis,"An idiopathic systemic inflammatory granulomatous disorder comprised of epithelioid and multinucleated giant cells with little necrosis. It usually
invades the lungs with fibrosis and may also involve lymph nodes, skin, liver,
spleen, eyes, phalangeal bones, and parotid glands.
Year introduced: PSEUDOTUBERCULOSIS use SARCOIDOSIS 1963-1992"
systemic sclerosis,D012595,"Scleroderma, Systemic","A chronic multi-system disorder of CONNECTIVE TISSUE. It is characterized by SCLEROSIS in the SKIN, the LUNGS, the HEART, the GASTROINTESTINAL TRACT, the
KIDNEYS, and the MUSCULOSKELETAL SYSTEM. Other important features include
diseased small BLOOD VESSELS and AUTOANTIBODIES. The disorder is named for its
most prominent feature (hard skin), and classified into subsets by the extent of 
skin thickening: LIMITED SCLERODERMA and DIFFUSE SCLERODERMA.
Year introduced: 1971"
Silicotics,D012829,Silicosis,"A form of pneumoconiosis resulting from inhalation of dust containing crystalline form of SILICON DIOXIDE, usually in the form of quartz. Amorphous silica is
relatively nontoxic."
Smoke,D012906,Smoke, Year introduced: 1974(1971)
obstructive sleep apnea,D020181,"Sleep Apnea, Obstructive","A disorder characterized by recurrent apneas during sleep despite persistent respiratory efforts. It is due to upper airway obstruction. The respiratory
pauses may induce HYPERCAPNIA or HYPOXIA. Cardiac arrhythmias and elevation of
systemic and pulmonary arterial pressures may occur. Frequent partial arousals
occur throughout sleep, resulting in relative SLEEP DEPRIVATION and daytime
tiredness. Associated conditions include OBESITY; ACROMEGALY; MYXEDEMA;
micrognathia; MYOTONIC DYSTROPHY; adenotonsilar dystrophy; and NEUROMUSCULAR
DISEASES. (From Adams et al., Principles of Neurology, 6th ed, p395)
Year introduced: 2000"
chronic obstructive pulmonary disease (COPD),D029424,"Pulmonary Disease, Chronic Obstructive","A disease of chronic diffuse irreversible airflow obstruction. Subcategories of COPD include CHRONIC BRONCHITIS and PULMONARY EMPHYSEMA.
Year introduced: 2002"
"non-small cell lung cancer, carcinoma",D002289,"Carcinoma, Non-Small-Cell Lung","A heterogeneous aggregate of at least three distinct histological types of lung cancer, including SQUAMOUS CELL CARCINOMA; ADENOCARCINOMA; and LARGE CELL
CARCINOMA. They are dealt with collectively because of their shared treatment
strategy.
Year introduced: 1994"
